[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2436702
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
Outputs directory created
Dump directory created
dw =  2.3968449809785852e-05
dt =  0.0625
T Target =  0.0004997501249375312
itern =  50  , diff =  36579.57214770741  , x =  0.01
itern =  51  , diff =  35845.727105818136  , x =  0.01
itern =  52  , diff =  35126.64223006083  , x =  0.01
itern =  53  , diff =  34422.018262902784  , x =  0.01
itern =  54  , diff =  33731.56346839762  , x =  0.01
itern =  55  , diff =  33054.99334854685  , x =  0.01
itern =  56  , diff =  32392.03038180969  , x =  0.01
itern =  57  , diff =  31742.403779366465  , x =  0.01
itern =  58  , diff =  31105.849255514368  , x =  0.01
itern =  59  , diff =  30482.108809183803  , x =  0.01
itern =  60  , diff =  29870.93051409076  , x =  0.01
itern =  61  , diff =  29272.06831547145  , x =  0.01
itern =  62  , diff =  28685.281831725086  , x =  0.01
itern =  63  , diff =  28110.336159626953  , x =  0.01
itern =  64  , diff =  27547.001682062513  , x =  0.01
itern =  65  , diff =  26995.053877513943  , x =  0.01
itern =  66  , diff =  26454.27313077436  , x =  0.01
itern =  67  , diff =  25924.444544600585  , x =  0.01
itern =  68  , diff =  25405.357752236043  , x =  0.01
itern =  69  , diff =  24896.806730950244  , x =  0.01
itern =  70  , diff =  24398.589616923855  , x =  0.01
itern =  71  , diff =  23910.5085220116  , x =  0.01
itern =  72  , diff =  23432.369353074253  , x =  0.01
itern =  73  , diff =  22963.981634727566  , x =  0.01
itern =  74  , diff =  22505.158336498644  , x =  0.01
itern =  75  , diff =  22055.715705486116  , x =  0.01
itern =  76  , diff =  21615.4731057113  , x =  0.01
itern =  77  , diff =  21184.25286540072  , x =  0.01
itern =  78  , diff =  20761.88013346236  , x =  0.01
itern =  79  , diff =  20348.18274640054  , x =  0.01
itern =  80  , diff =  19942.99110685364  , x =  0.01
itern =  81  , diff =  19546.138074843027  , x =  0.01
itern =  82  , diff =  19157.458872672727  , x =  0.01
itern =  83  , diff =  18776.79100424712  , x =  0.01
itern =  84  , diff =  18403.97418934721  , x =  0.01
itern =  85  , diff =  18038.850313168965  , x =  0.01
itern =  86  , diff =  17681.263391153  , x =  0.01
itern =  87  , diff =  17331.05954886107  , x =  0.01
itern =  88  , diff =  16988.08701636531  , x =  0.01
itern =  89  , diff =  16652.196136353916  , x =  0.01
itern =  90  , diff =  16323.239384891145  , x =  0.01
itern =  91  , diff =  16001.07140355783  , x =  0.01
