Outputs directory created
Dump directory created
dw =  0.00019174759848539225
dt =  0.0625
T Target =  0.004975124378109453
itern =  336  , diff =  23.921202270295176  , x =  0.012050582226554004
itern =  337  , diff =  23.340667951171  , x =  0.013255640449209405
itern =  338  , diff =  27.566762812912863  , x =  0.013255640449209405
itern =  339  , diff =  26.852292818127246  , x =  0.014581204494130346
itern =  340  , diff =  31.66089681404665  , x =  0.014581204494130346
itern =  341  , diff =  30.783504173592256  , x =  0.016039324943543383
itern =  342  , diff =  36.229559480897365  , x =  0.016039324943543383
itern =  343  , diff =  35.154754576095485  , x =  0.017643257437897724
itern =  344  , diff =  41.29135468609051  , x =  0.017643257437897724
itern =  345  , diff =  39.97842398460271  , x =  0.019407583181687497
itern =  346  , diff =  46.854369893732894  , x =  0.019407583181687497
itern =  347  , diff =  45.255676404636006  , x =  0.02134834149985625
itern =  348  , diff =  52.91241581647408  , x =  0.010674170749928125
itern =  349  , diff =  12.743190374617916  , x =  0.011741587824920938
itern =  350  , diff =  15.137776843014999  , x =  0.011741587824920938
itern =  351  , diff =  14.83557329114735  , x =  0.012915746607413034
itern =  352  , diff =  17.59463072691338  , x =  0.012915746607413034
itern =  353  , diff =  17.212641000271535  , x =  0.014207321268154337
itern =  354  , diff =  20.3776038774665  , x =  0.014207321268154337
itern =  355  , diff =  19.896523165946878  , x =  0.01562805339496977
itern =  356  , diff =  23.50954235334205  , x =  0.01562805339496977
itern =  357  , diff =  22.90601146304308  , x =  0.01719085873446675
itern =  358  , diff =  27.008604450893017  , x =  0.01719085873446675
itern =  359  , diff =  26.254568794923852  , x =  0.01890994460791343
itern =  360  , diff =  30.885811158954695  , x =  0.01890994460791343
itern =  361  , diff =  29.947850883254098  , x =  0.020800939068704775
itern =  362  , diff =  35.142030696724966  , x =  0.010400469534352388
itern =  363  , diff =  8.49517277673042  , x =  0.011440516487787628
itern =  364  , diff =  10.109244249730075  , x =  0.011440516487787628
itern =  365  , diff =  9.925930886291253  , x =  0.012584568136566391
itern =  366  , diff =  11.793097926803144  , x =  0.012584568136566391
itern =  367  , diff =  11.559065611964472  , x =  0.013843024950223031
itern =  368  , diff =  13.709550514531546  , x =  0.013843024950223031
itern =  369  , diff =  13.411797786487893  , x =  0.015227327445245336
itern =  370  , diff =  15.876608600663367  , x =  0.015227327445245336
itern =  371  , diff =  15.499191001118572  , x =  0.01675006018976987
itern =  372  , diff =  18.30914756973211  , x =  0.01675006018976987
itern =  373  , diff =  17.832657357683654  , x =  0.01842506620874686
itern =  374  , diff =  21.017058782762035  , x =  0.01842506620874686
itern =  375  , diff =  20.41806984038029  , x =  0.02026757282962155
itern =  376  , diff =  24.00294063626719  , x =  0.010133786414810775
itern =  377  , diff =  5.813360965942683  , x =  0.011147165056291854
itern =  378  , diff =  6.924007955509745  , x =  0.011147165056291854
itern =  379  , diff =  6.80485245955948  , x =  0.01226188156192104
itern =  380  , diff =  8.09225498066556  , x =  0.01226188156192104
itern =  381  , diff =  7.93930572397384  , x =  0.013488069718113145
itern =  382  , diff =  9.425074171246761  , x =  0.013488069718113145
itern =  383  , diff =  9.229389620585653  , x =  0.014836876689924462
itern =  384  , diff =  10.93577674133496  , x =  0.014836876689924462
